# https://arxiv.org/pdf/2003.13350.pdf, Section H.4
# game human random agent57 r2d2(bandit) muzero ngu r2d2(retrace) r2d2
fishing_derby -38.70 -91.70 86.97±3.25 90.34±2.66 91.16 34.62±4.91 87.83±2.78 87.81±1.28
freeway 29.60 0.00 32.59±0.71 34.00±0.00 33.03 28.71±2.07 33.48±0.16 32.90±0.11
frostbite 4334.70 65.20 541280.88±17485.76 309077.30±274879.03 631378.53 284044.19±227850.49 12290.11±7936.49 446703.01±63780.51
gopher 2412.50 257.60 117777.08±3108.06 129736.13±653.03 130345.58 119110.87±463.03 119803.94±3197.88 126241.97±519.70
gravitar 3351.40 173.00 19213.96±348.25 21068.03±497.25 6682.70 14771.91±843.17 14194.45±1250.63 17352.78±2675.27
hero 30826.40 1027.00 114736.26±49116.60 49339.62±4617.76 49244.11 71592.84±12109.10 54967.97±5411.73 39786.01±7638.19
ice_hockey 0.90 -11.20 63.64±6.48 86.59±0.59 67.04 -3.15±0.47 86.56±1.21 86.89±0.88
jamesbond 302.80 29.00 135784.96±9132.28 158142.36±904.45 41063.25 28725.27±2902.52 32926.31±3073.94 28988.32±263.79
kangaroo 3035.00 52.00 24034.16±12565.88 18284.99±817.25 16763.60 37392.82±6170.95 15185.87±931.58 14492.75±5.29
krull 2665.50 1598.00 251997.31±20274.39 245315.44±48249.07 269358.27 150896.04±33729.56 149221.98±17583.30 291043.06±10051.59
kung_fu_master 22736.30 258.50 206845.82±11112.10 267766.63±2895.73 204824.00 215938.95±22050.67 228228.90±5316.74 252876.65±10424.57
montezuma_revenge 4753.30 0.00 9352.01±2939.78 3000.00±0.00 0.00 19093.74±12627.66 2300.00±668.33 2666.67±235.70
ms_pacman 6951.60 307.30 63994.44±6652.16 62595.90±1755.82 243401.10 48695.12±1599.94 45011.73±1822.30 50337.02±4004.55
name_this_game 8049.00 2292.30 54386.77±6148.50 138030.67±5279.91 157177.85 25608.90±1943.41 74104.70±9053.70 74501.48±11562.26
phoenix 7242.60 761.40 908264.15±28978.92 990638.12±6278.77 955137.84 966685.41±6127.24 937874.90±22525.79 876045.70±25511.04
pitfall 6463.70 -229.40 18756.01±9783.91 0.00±0.00 0.00 15334.30±15106.90 -0.45±0.50 0.00±0.00
pong 14.60 -20.70 20.67±0.47 21.00±0.00 21.00 19.85±0.31 20.95±0.01 21.00±0.00
private_eye 69571.30 24.90 79716.46±29515.48 40700.00±0.00 15299.98 100314.44±291.22 34601.01±5266.39 18765.05±16672.27
qbert 13455.00 163.90 580328.14±151251.66 777071.30±190653.94 72276.00 479024.20±98094.39 434753.72±99793.58 771069.21±152722.56
riverraid 17118.00 1338.50 63318.67±5659.55 93569.66±13308.08 323417.18 40770.82±748.42 43174.10±2335.12 54280.32±1245.60
road_runner 7845.00 11.50 243025.80±79555.98 593186.78±88650.69 613411.80 151326.54±77209.43 116149.17±18257.21 613659.42±397.72
robotank 11.90 2.20 127.32±12.50 144.00±0.00 131.13 11.62±0.67 143.59±0.29 130.72±9.75
seaquest 42054.70 68.40 999997.63±1.42 999999.00±0.00 999976.52 999999.00±0.00 999999.00±0.00 999999.00±0.00
skiing -4336.90 -17098.10 -4202.60±607.85 -3851.44±517.52 -29968.36 -24271.33±6936.26 -14576.05±875.96 -17797.59±866.55
solaris 12326.70 1236.30 44199.93±8055.50 67306.29±10378.22 56.62 7254.03±3653.55 6566.03±2209.91 11247.88±1999.22
space_invaders 1668.70 148.00 48680.86±5894.01 67898.71±1744.74 74335.30 48087.13±11219.39 36069.75±23408.12 67229.37±2316.31
star_gunner 10250.00 664.00 839573.53±67132.17 998600.28±218.66 549271.70 450096.08±158979.59 420337.48±8309.08 923739.89±69234.32
surround 6.50 -10.00 9.50±0.19 10.00±0.00 9.99 -9.32±0.67 9.96±0.01 10.00±0.00
tennis -8.30 -23.80 23.84±0.10 24.00±0.00 0.00 11.06±6.10 24.00±0.00 7.93±11.36
time_pilot 5229.20 3568.00 405425.31±17044.45 460596.49±3139.33 476763.90 368520.34±70829.26 452966.67±5300.62 454055.63±2205.07
tutankham 167.60 11.40 2354.91±3421.43 483.78±37.90 491.48 197.90±7.47 466.59±38.40 413.80±3.89
up_n_down 11693.20 533.40 623805.73±23493.75 702700.36±8937.59 715545.61 630463.10±31175.20 679303.61±4852.85 599134.12±3394.48
venture 1187.50 0.00 2623.71±442.13 2258.93±29.90 0.40 1747.32±101.40 2013.31±11.24 2047.51±20.83
video_pinball 17667.90 0.00 992340.74±12867.87 999645.92±57.93 981791.88 973898.32±20593.14 964670.12±4015.52 999697.05±53.37
wizard_of_wor 4756.50 563.50 157306.41±16000.00 183090.81±6070.10 197126.00 121791.35±27909.14 134017.82±11871.88 179376.15±6659.14
yars_revenge 54576.90 3092.90 998532.37±375.82 999807.02±54.85 553311.46 997642.09±455.73 998474.20±589.50 999748.54±46.19
zaxxon 9173.30 32.50 249808.90±58261.59 370649.03±19761.32 725853.90 129330.99±56872.31 114990.68±56726.18 366028.59±49366.03
